,comment,star,date,,상품링크
155,일부러 딱맞게 입으려고 샀어요 넣어입어도 빼고 입어도 좋아요 다만 옷 벗을때 목이 늘어날까 염려돼요 ㅠ,5,22.06.20.,,
156,배송 빠르고 재질 좋아요,5,22.07.05.,,
157,160 52키로 s사이즈 적당한 핏이라서 마음에 들어요!!배송도 하루만에 옵니다~,5,22.07.15.,,
158,"공용이라 그런지 사이즈가 생가보다 크네요, 그래도 편하고 원단도 부드럽고 좋네요~",5,22.07.12.,,
159,빠른배송 감사합니다,5,22.07.05.,,
160,라운드가 브이넥보다는 더 이쁘네요~  다른색도 재구매하고 싶어요~,5,22.07.11.,,
161,생각보다 배송이 엄청 빠르고 옷 질감도ㅠ너무 좋고 전체적으로 만족해요~!ㄷ이번에 또 살려고 생각중입니다!,5,22.06.15.,,
162,어깨라인 접혀있어 뾰족 올라와 있어 당황했지만 세탁하면 괜찮아지네요. 오버핏이라 편하게 입을 수 있어 좋으네요.,5,22.07.12.,,
163,옷재질은 매우 좋습니다. 사이즈는 한치수 작게 구입해야겠네요 그래도 매우 만족합니다.,5,22.07.08.,,
164,빠른 배송이에요! 옷도 너무 예쁘고 다음에는 다른 색상으로 또 구매하려고 합니다!!,5,22.06.21.,,
165,"공용이라 크네요ㅎ  여성은 s입으면 딱인듯  해요
L 은 아들 주고 전 s로 다시 사려고요  저렴하게 잘샀어",5,22.07.10.,,
166,면이 부드럽고 질이 좋습니다. 오래 입을 수 있을 것 같아요,5,22.07.12.,,
167,배송도삐르고 옷도 고급지고 예쁘네요,5,22.07.02.,,
168,"너무너무 맘에 들어요 면소재라
보들보들하고 늘어나지 않으면 좋겟는데
잘입다가 내년에도 주문해야겟어요~
남자 105~110사이즈 xl딱이쁘게 맞아요
여자 평소 오버핏을 좋아하는데 
남여공용이라 s 낙낙하니 이뿌네요 맘에들어요",5,22.06.03.,,
169,"핏이 이뻐요 언니랑 저랑 블랙화이트사서 입었는데
둘 다 이뻐서 재구매했어요",5,22.07.09.,,
170,"이쁩니다.
빠른배송도 좋아요",5,22.07.04.,,
171,이뻐요.편하고 원단드조아요,5,22.06.28.,,
172,두장구입하고 두장 재주문했어요,5,22.07.07.,,
173,"배송은 빠르네요! 
재질은 얇고 적당해요
여름에 입으면 시원할 듯
정품인지는 잘 모르겠어요",4,22.06.21.,,
174,엑스라지는 생각보다 크지는않고 딱 맞는거같아요,5,22.06.29.,,
175,적당해요 예쁘게잘입을거에요,5,22.06.29.,,
176,빨래후 착용감 색 빠짐등 아직은 첫 입은 결과는 일단 좋습니다,4,22.06.29.,,
177,이쁘고 좋아요 기본티로 매우젛는,5,22.06.26.,,
178,맘에 드네요..추가 주문합니다. M주문했는데 살짝커서 S로 추가추문해요..이뻐요~,5,22.07.07.,,
179,좋아하는 기본티에요 면이 좋은 만큼 입기에도 편합니다. 아주 만족해요.,5,22.06.17.,,
180,잘받았습니다 감사합니다,5,22.07.03.,,
181,잘받았습니다 감사합니다,5,22.07.03.,,
182,잘받았습니다 감사합니다,5,22.07.03.,,
183,한치수 적게 주문했더니 훨 이쁘네요~  색도 맘에 들어요~,5,22.07.11.,,
184,미디윰도크네여 두사이즈 적개 시켜야할듯,5,22.07.02.,,
185,사이즈를 잘 못 선택했어요ㅠ 남편입으라고 줬네요. 색감도 좋고 가볍고 여름에 입기 좋은것 같아요,5,22.07.08.,,
186,잘받았어요 굿굿 굿,5,22.07.06.,,
187,편하고 입기편해요 좋아요,4,22.07.02.,,
188,슬림핏 보다는 쪼끔 넉넉하구  재질 나쁘지 않아요~ 두개더 주문했습니다 ^^,5,22.07.11.,,
189,배송도 빠르고 예뻐요,5,22.07.03.,,
190,이쁘게 잘입고 있어요 ㅎㅎ,5,22.07.07.,,
191,"여름에 막입기에도 좋고 핏도이뻐요
블랙 화이트샀는데 둘다이뻐요",5,22.07.09.,,
192,"M삿는데 마니 크네용ㅋㅋs살껄 그랬나봐요
다른색도 사려고요",5,22.06.26.,,
193,폴로는 항상 옳아요,5,22.07.06.,,
194,사이즈 꼭 맞고배송 정말 빠름,5,22.07.04.,,
195,배송도 빠르고 이뻐요,5,22.07.03.,,
196,"색감 이쁘고 하늘색 포니도 좋은데, 입었을때 핏이 좀 낙낙해서그런지 편한 홈웨어 느낌도 나요. 같은 사이즈 블랙은 그냥 티셔츠같은데, 네이비헤더는 색감이 흐릿해서 그런듯.",5,22.06.11.,,
197,"너무 편하고 이뻐서 재구매합니다
블랙에 이어 이번에는 핑크인데 컬러 너무나 멋지네요",5,22.06.17.,,
198,공용이라 그런지 사이즈가 큽니다. 원단도 부드럽고 편하네요~,5,22.07.12.,,
199,커플템으로 완전 추천!! 깔끔하고 예뻐요,4,22.07.13.,,
200,"넘예쁘게 질입고있어요👍👍👍
옷감도 좋구요 앏아서 한여름에도
싱뎐한게 굿~입니다🥰🥰🥰🥰",5,22.07.08.,,
201,"넘 편하고 망에 넣어 세탁기 돌려서
편하게 관리할 수 있어좋네요",5,22.06.25.,,
202,"사이즈를 잘 못 선택해서 제가 못입고 남편 줬어요
가볍고 소재도 좋고 여름에 입기 좋아요",5,22.07.08.,,
203,재질이좋아요 디자인도이쁘고,5,22.07.13.,,
204,"신랑이 입으려고 두가지 색상으로 주문하였어요.
요즘 살이쪄서 걱정했는데 L사이즈가 맞더라고요.
키178/몸무게 76입니다.",5,22.06.08.,,
205,옷 핏 좋고 편해요,5,22.06.30.,,
206,맘에들어요 신랑이 조아해요,5,22.06.24.,,
207,좋아요 배송 빠르게 잘 받았습니다,5,22.07.15.,,
208,"천이 부드럽고 편하게 망에 넣어 세탁기로
관리해서 좋아요",5,22.06.25.,,
209,핏도 예쁘고 무엇보다 소재가 다른 폴로티보다 부드러운? 느낌이라 편해요,5,22.07.07.,,
210,배송 빠르고 옷 상태도 좋고 커플티로 완전 강추~!!잉크색 추천합니다!,5,22.06.15.,,
211,여름에 무난하게 입을 수 있을 것 같아요 면은 엄청 얇아서 금방 손상되겠지만 여름 한 철 입기엔 딱 좋아요!!,5,22.06.20.,,
212,"소재도 좋고 입었을때 이쁘네요.
미듐 샀는데, 스몰도 사볼까 고민중입니다 .
참고로 169CM에 64KG 입니다.
미듐이 잘 맞는거 같았어요.",5,22.07.04.,,
213,생각보다얇아서시원합니다요,5,22.06.29.,,
214,좋아요 편하고 이뻐요,5,22.06.26.,,
215,"원단 좋습니다.
착용감도 좋아요",4,22.06.27.,,
216,"남자친구 선물로 줬는데 좋아해요!
근데 생각보다 많이 얇아서 비치더라고요..안에 받쳐입어야될 것 같아요",5,22.07.02.,,
217,핏도 좋고 배송도 빠르고 너무 이뻐요,5,22.07.14.,,
218,잘 입고 있어요 괜찮아요~~,5,22.07.04.,,
219,브이넥 찾고있었는데 재질 좋고 예쁜 반팔 찾아서 샀어요!,5,22.06.25.,,
220,"배송 빠르게 잘 받았고
스판 엄청 편합니다.",5,22.06.28.,,
221,"넘 편하고 망에 넣어 세탁기 돌려서
편하게 관리할 수 있어좋네요",5,22.06.25.,,
222,"사이즈를 잘 못 선택해서 제가 못입고 남편 줬어요
가볍고 소재도 좋고 여름에 입기 좋아요",5,22.07.08.,,
223,재질이좋아요 디자인도이쁘고,5,22.07.13.,,
224,"신랑이 입으려고 두가지 색상으로 주문하였어요.
요즘 살이쪄서 걱정했는데 L사이즈가 맞더라고요.
키178/몸무게 76입니다.",5,22.06.08.,,
225,옷 핏 좋고 편해요,5,22.06.30.,,
226,맘에들어요 신랑이 조아해요,5,22.06.24.,,
227,좋아요 배송 빠르게 잘 받았습니다,5,22.07.15.,,
228,"천이 부드럽고 편하게 망에 넣어 세탁기로
관리해서 좋아요",5,22.06.25.,,
229,핏도 예쁘고 무엇보다 소재가 다른 폴로티보다 부드러운? 느낌이라 편해요,5,22.07.07.,,
230,배송 빠르고 옷 상태도 좋고 커플티로 완전 강추~!!잉크색 추천합니다!,5,22.06.15.,,
231,여름에 무난하게 입을 수 있을 것 같아요 면은 엄청 얇아서 금방 손상되겠지만 여름 한 철 입기엔 딱 좋아요!!,5,22.06.20.,,
232,"소재도 좋고 입었을때 이쁘네요.
미듐 샀는데, 스몰도 사볼까 고민중입니다 .
참고로 169CM에 64KG 입니다.
미듐이 잘 맞는거 같았어요.",5,22.07.04.,,
233,생각보다얇아서시원합니다요,5,22.06.29.,,
234,좋아요 편하고 이뻐요,5,22.06.26.,,
235,"원단 좋습니다.
착용감도 좋아요",4,22.06.27.,,
236,"남자친구 선물로 줬는데 좋아해요!
근데 생각보다 많이 얇아서 비치더라고요..안에 받쳐입어야될 것 같아요",5,22.07.02.,,
237,핏도 좋고 배송도 빠르고 너무 이뻐요,5,22.07.14.,,
238,잘 입고 있어요 괜찮아요~~,5,22.07.04.,,
239,브이넥 찾고있었는데 재질 좋고 예쁜 반팔 찾아서 샀어요!,5,22.06.25.,,
240,"배송 빠르게 잘 받았고
스판 엄청 편합니다.",5,22.06.28.,,
241,재질이 좋아 오래 입을 수 있을 듯합니다. 컬러로 실물이 훨씬 예쁩니다!,5,22.07.07.,,
242,이뻐용 가격도 싸서 검은색으로 하나 더 샀어여,5,22.07.13.,,
243,그냥 기본티로 좋습니다.  여름이라 잘 입고 다니고 있네요.  깔끔하니 좋습니다.,5,22.07.08.,,
