,comment,star,date,,상품 링크
107,생각대로  레드포니 예쁘네요,5,22.06.28.,,
108,모난데 없이 깔끔하게 예뻐요! 데님이랑 잘 어울립니다,5,22.06.19.,,
109,좋습니다...많이 파세요~~~,5,22.06.30.,,
110,재질 부드럽고 얇아서 여름에 입기 좋을 것 같아요 색상도 쨍한 레드여서 마음에 듭니다,5,22.06.09.,,
111,배송빠릅니다 감사합니다 만족합니다,5,22.06.25.,,
112,배송빠릅니다 감사합니다 만족합니다,5,22.06.25.,,
113,배송빠릅니다 감사합니다 만족합니다,5,22.06.25.,,
114,배송 빠르고 품질 좋고 가격좋고 여기 괜찮네요. 상품에 설명도 적당하니 딱 필요한것만 해주시고 비교 잘 할수 있었어요. 163에 49킬로 보통체형 대딩이 입을 티로 장만 했구요. 딱맞는거 안좋아해서 낙낙하니 한다고 L사이즈로 했어요.그렇다고 애가 오버핏은 싫어하더라구요. 제가 입어보니 잘 맞을것 같아요.,5,22.05.26.,,
115,생각했던것보다 라지도 넉넉하진않아요,5,22.07.15.,,
116,좋아요!!! 배송도 빨라요!! 옷도 너무 맘에드네요,5,22.07.11.,,
117,좋은 가격에 잘 구매했습니다 감사합니다!,5,22.07.13.,,
118,배송이 엄청빨라요  소매가  조금 긴것빼곤  괜찮아요,3,22.06.19.,,
119,블랙 레드포니가 생각보다 예뻤어요,5,22.06.25.,,
120,딸이좋아하네요 옷감도 좋아요 적당한 길이감이나 약간 넉넉한 사이즈 원한다면 L사이즈가 맞아요,5,22.07.01.,,
121,또 살 마음 있습니다 좋아요,5,22.06.26.,,
122,많이파세요  예쁩니다,5,22.06.30.,,
123,질감 색감 다 좋아요  잘입고있습니다,4,22.07.15.,,
124,생각보다 배송도 빨랐고 티도 넘 맘에 듭니다~,5,22.06.21.,,
125,생각보다 배송도 빨랐고 티도 넘 맘에 듭니다~,5,22.06.21.,,
126,많이 파세요 예쁩니다.,5,22.06.30.,,
127,"일부러 크게 입을려고 큰사이즈샀어요
화면하고 색 비슷해요 잘입을께요",5,22.07.08.,,
128,속티 혹은 딱맞춰입기 너무 좋아요!감사합니다!,5,22.07.05.,,
129,마감이 썩 깨끗하지 않아요. 포니 자수가 폴로 티셔츠의 중요 포인튼데 아쉬워요.,2,22.06.07.,,
130,천도 좋아보이고 색상도 생각한대로 이뻐요.,5,22.07.11.,,
131,일부러 크게입으려고 샀는데 마음에들어요! 잘 입고있습니다!,5,22.07.05.,,
132,"66인데 널널하게입으려고 XL
샀어요~좋아요",5,22.06.21.,,
133,찐분홍이랑 찐녹색샀는데 약간 빈티지스럽고 예뻐요 가슴있는55사이즌데 m입으니 크지도 작지도 않아요,5,22.07.01.,,
