,comment,star,date,,상품 링크
228,이번 여름에 입을 생각에 너무 흥분됩니다,5,22.05.06.,,
229,배송도 빠르고 잘구매한거같습니다,5,22.04.07.,,
230,163 54 사이즈 고민 많이 했는데 만족입니다,5,22.04.13.,,
231,배송빠르고 탄탄해요,5,22.05.07.,,
232,"약간 잘 늘어나는 재질이라 조심하게되네요 ㅎ
디자인은 역시 이뻐요",4,22.04.23.,,
233,크게 입으려고 했는데 라인이 있을 줄 몰랐어요ㅠㅠ,5,22.05.02.,,
234,"배송은 나흘정도 걸렸습니다
포장 및 제품 만족합니다
사이즈는 M사이즈 입는분이면 적당한 사이즈
나올꺼같습니다
촉감이 부들부들해서 만족합니다
감사합니다",5,22.03.22.,,
235,"인터넷으로 사는거라 사이즈때문에 걱정했는데
95사이즈 종사이즈인거 같아요
원단도 괜찮고 더 구매할 생각입니다",5,22.04.20.,,
236,"와이프랑 커플티로 구매했습니다
평소 55사이즈입는데 잘 맞습니다
기장이 조금 길다고하는데
크게 문제없는거같습니다
촉감이 부들부들해서 만족한다고합니다
감사합니다",5,22.03.22.,,
237,"좋아요 깔끔하고
흰색이 예뻐요",5,22.04.26.,,
238,좋은제품감사합니다 고맙습니다 감사합니다,5,22.05.03.,,
239,편하게 잘 입을거 같아요,4,22.05.02.,,
240,"가장 기본적인 색상이랑 디자인이라 잘입고있어요
다만 잘 늘어나는 재질이라 조심하게되요",4,22.04.23.,,
241,작년 신랑이 김포아울렛에서 블랙 화이트 포니 반팔을 구매했는데 너무 예뻤어서 저도 보이즈로 구매했어요 156/45 상체 마른형이라 예쁜 핏으로 잘 맞아요 아메리칸 헤더도 사고 싶네요! 7개월 임신중이라 배가 나온 상태에도 잘 맞네요 저는ㅎㅎ애 낳으면 더 잘입을 듯요,5,22.03.10.,,
242,엠 사이즈는 붙는 스타일로 예쁘게 입어지네요,5,22.04.03.,,
243,좋아요! 촉감도 좋고 여름에 좋게 입을거같아요,5,22.04.16.,,
244,사이즈도 적당하고 편하네요^^,5,22.04.29.,,
245,사이즈가 살짝 타이트하게 나와서 정핏으로 예쁠것같아요,5,22.04.02.,,
246,"목부분이 작은듯 하네요
아동ㅈ용이라 좀....",3,22.04.29.,,
247,예뻐요! 여자는 m사도 됐을걸 그랬어용 ㅠㅠ,5,22.04.21.,,
248,선물했는데 선물받은사람이 만족해했어요ㅎㅎ,5,22.04.26.,,
249,예뻐요! 여자는 m사도 됐을걸 그랬어용 ㅠㅠ,5,22.04.21.,,
250,너무 편하고 좋아요,5,22.04.28.,,
251,사이즈 정사이즈에요. 너무 마음에 들어요,5,22.04.20.,,
252,배송빠르고  면히부드러워요 이뻐요 맘에들어요~,5,22.04.18.,,
253,사이즈 95 사이즈 정사이즈에요. 너무 마음에 들어요,5,22.04.20.,,
254,사이즈 95 사이즈 정사이즈에요. 너무 마음에 들어요,5,22.04.20.,,
255,좋습니다 구매하세요♡♡,4,22.04.28.,,
256,2번째 구매입니다 좋아요,5,22.04.25.,,
257,재구매했어요 기본티로 너무 맘에듭니다 쟁여놔야되는 옷이네요~,5,22.03.18.,,
258,"생각보다이쁨!
퀄리티도 좋음",5,22.04.14.,,
259,목부분도 탄탄한듯하고 핏도 맘에듭니다. 빳빳한원단은 아니고 약간 부들한 원단인데 편하고 맘에듭니다,5,22.03.16.,,
260,폴로 로고도 포인트되고 기본티로 이만한게 없어요 맘에듭니다,5,22.03.18.,,
261,사진에서 본그대로 왔어요.,5,22.04.17.,,
262,163 54 사이즈 고민 많이핶는데 만족입니다,5,22.04.13.,,
263,사진에서 본 그대로에요.,5,22.04.17.,,
264,"배송동빨리오고ㅡ
사이즈도 딱이예요
알맞게 잘샀어요
고민말고사세요",5,22.03.29.,,
265,"평소 s사이즈나 xs입는데 m사이즈하니 
 편하게 잘맞습니다 기본티로 너무 좋네요",5,22.03.16.,,
266,배송빠르게왔고 예뻐요 여름에 잘입을것같아요,5,22.04.02.,,
267,백화점 상품이라고 해서 여기서 산건데  택이 백화점 상품 사진이랑은 다르네요.,2,22.03.14.,,
268,좋아요 이뻐요 맘에들어요,5,22.05.04.,,
269,너무 이쁘고 좋아요,5,22.04.09.,,
270,55사즈 입는데 적당히 좋아요,5,22.03.16.,,
271,너무너무너무 좋아요,5,22.04.27.,,
272,확실히 질이좋습니다,4,22.03.29.,,
273,확실히 질이좋습니다 ㅎ,4,22.03.29.,,
274,좋네요 품질도 좋고요,5,22.03.28.,,
